player_id,player_name,age,ioc,participation_number,Number_of_matchs,win_count,lose_count,win/lose_ratio,total_aces,total_doubleF,total_1stIn,total_1stWon,FirstSvcMade/FirstSvcWon,rank_2010,rank_2011,rank_2012,rank_2013,rank_2014,rank_2015,rank_2016,rank_2017,rank_2018,rank_2019,rank_2020,rank_2021,rank_2022,rank_2023,rank_2024,rank_points_2010,rank_points_2011,rank_points_2012,rank_points_2013,rank_points_2014,rank_points_2015,rank_points_2016,rank_points_2017,rank_points_2018,rank_points_2019,rank_points_2020,rank_points_2021,rank_points_2022,rank_points_2023,rank_points_2024,total_rank_points_
103794,Benjamin Becker,35,GER,8,241,99,142,0.7,1631,237,10358,7604,73.41,59,60,90,79,45,74,102,99999,99999,99999,99999,99999,99999,99999,99999,852,845,588,637,963,675,577,0,0,0,0,0,0,0,0,5137
103720,Lleyton Hewitt,34,AUS,9,177,96,81,1.19,958,308,7536,5410,71.78999999999999,36,174,83,60,49,355,308,99999,99999,99999,99999,99999,99999,99999,99999,1135,305,625,780,880,130,160,0,0,0,0,0,0,0,0,4015
104534,Dudi Sela,33,ISR,11,236,96,140,0.69,517,232,10076,6727,66.75999999999999,85,97,109,73,84,135,64,72,156,99999,99999,99999,99999,99999,99999,623,560,512,681,648,402,791,710,357,0,0,0,0,0,0,5284
104291,Malek Jaziri,38,TUN,10,236,96,140,0.69,959,247,10023,7097,70.81,99999,181,112,158,87,88,50,80,45,75,259,303,329,99999,99999,0,297,499,328,638,555,878,650,1014,732,181,170,134,0,0,6076
104417,Robin Soderling,26,SWE,5,126,95,31,3.06,1106,270,5627,4334,77.02,4,5,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,5380,4325,0,0,0,0,0,0,0,0,0,0,0,0,0,9705
104999,Mischa Zverev,33,GER,3,234,92,142,0.65,1173,194,11277,7815,69.3,96,99,99999,139,99999,215,72,30,44,211,268,99999,99999,99999,99999,562,524,0,417,0,235,730,1457,1030,230,188,0,0,0,0,5373
105041,Lukas Lacko,33,SVK,8,227,91,136,0.67,1335,175,9831,7004,71.24000000000001,75,109,51,73,85,93,102,118,81,133,99999,214,99999,99999,99999,680,504,827,670,644,548,593,480,697,423,0,319,0,0,0,6385
124187,Reilly Opelka,24,USA,9,173,89,84,1.06,3120,215,9226,7308,79.21000000000001,99999,99999,99999,99999,99999,99999,364,180,228,37,36,25,17,99999,99999,0,0,0,0,0,0,130,318,231,1203,1312,1891,2010,0,0,7095
106218,Marcos Giron,30,USA,2,193,88,105,0.84,973,133,9364,6662,71.14,99999,99999,99999,99999,99999,99999,99999,99999,446,217,91,57,58,79,49,0,0,0,0,0,0,0,0,82,233,769,1034,801,735,980,4634
125802,Ilya Ivashka,29,BLR,9,178,88,90,0.98,1000,235,8755,6245,71.33,99999,99999,99999,99999,99999,99999,167,172,91,135,141,46,70,113,99999,0,0,0,0,0,0,336,337,622,411,425,1253,730,562,0,4676
106329,Thiago Monteiro,29,BRA,15,208,88,120,0.73,1098,154,10533,7540,71.58,99999,99999,99999,99999,99999,99999,110,126,146,101,84,93,65,116,106,0,0,0,0,0,0,546,457,395,551,749,829,793,523,590,5433
144719,Jaume Munar,27,ESP,5,210,87,123,0.71,725,221,10933,7362,67.34,99999,99999,99999,99999,99999,683,99999,99999,81,88,99,71,55,82,68,0,0,0,0,0,36,0,0,663,620,593,975,839,721,805,5252
106121,Taro Daniel,31,JPN,10,223,86,137,0.63,839,192,10745,7189,66.91,99999,99999,99999,99999,226,120,88,121,74,127,102,123,95,95,85,0,0,0,0,213,467,647,465,743,424,536,649,564,643,717,6068
104547,Horacio Zeballos,33,ARG,2,214,86,128,0.67,1218,176,10445,7397,70.82000000000001,89,113,108,49,117,146,71,58,152,99999,99999,99999,99999,99999,99999,600,493,502,904,515,360,736,821,373,0,0,0,0,0,0,5304
122298,Botic Van De Zandschulp,28,NED,9,164,86,78,1.1,984,303,8178,5808,71.02000000000001,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,61,35,51,112,0,0,0,0,0,0,0,0,0,0,0,999,1252,930,565,3746
104327,Steve Darcis,35,BEL,11,177,85,92,0.92,598,147,7753,5290,68.23,112,95,73,165,99999,81,120,65,99999,158,200,99999,99999,99999,99999,504,568,655,306,0,636,518,791,0,332,242,0,0,0,0,4552
111202,Hyeon Chung,23,KOR,5,153,84,69,1.22,533,231,6862,4835,70.46,99999,99999,99999,99999,180,58,84,55,27,139,99999,99999,99999,99999,99999,0,0,0,0,285,801,675,889,1630,383,0,0,0,0,0,4663
202104,Sebastian Baez,23,ARG,14,154,82,72,1.14,277,125,8119,5231,64.42999999999999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,111,37,29,20,0,0,0,0,0,0,0,0,0,0,0,704,1117,1400,1985,5206
106065,Marco Cecchinato,30,ITA,8,207,80,127,0.63,874,149,10781,7301,67.72,99999,99999,99999,99999,99999,99999,99,105,20,67,103,80,151,96,99999,0,0,0,0,0,0,575,519,1819,880,671,911,362,619,0,6356
103598,Xavier Malisse,33,BEL,6,172,80,92,0.87,1156,135,7362,5398,73.32,55,50,58,100,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,898,875,746,555,0,0,0,0,0,0,0,0,0,0,0,3074
105051,Matthew Ebden,33,AUS,5,207,79,128,0.62,1182,310,9578,6783,70.82000000000001,285,124,115,68,94,148,99999,139,51,100,99999,287,99999,99999,99999,151,465,493,706,608,367,0,419,974,571,0,200,0,0,0,4954
104593,Daniel Gimeno Traver,30,ESP,10,218,79,139,0.57,1037,201,9681,6751,69.73,59,80,93,60,112,95,131,99999,99999,99999,99999,99999,99999,99999,99999,819,655,558,775,502,570,454,0,0,0,0,0,0,0,0,4333
202103,Francisco Cerundolo,25,ARG,5,152,79,73,1.08,416,243,7802,5180,66.39,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,137,29,21,22,0,0,0,0,0,0,0,0,0,0,0,532,1398,1680,1870,5480
103812,Victor Hanescu,33,ROU,11,184,78,106,0.74,774,108,9691,6661,68.73,52,64,104,80,104,146,99999,99999,99999,99999,99999,99999,99999,99999,99999,915,760,529,636,552,375,0,0,0,0,0,0,0,0,0,3767
